2020-04-26T19:09:54.595899,Read from csv
2020-04-26T19:09:54.639520,Read from csv
2020-04-26T19:09:54.640126,Read from csv
2020-04-26T19:09:54.834830,Read from csv
2020-04-26T19:09:54.835724,Read from csv
2020-04-26T19:09:55.023837,Read from csv
2020-04-26T19:09:55.024048,Read from csv
2020-04-26T19:09:55.024228,Read from csv
2020-04-26T19:09:55.060545,Read from csv
2020-04-26T19:09:55.060723,Read from csv
2020-05-31T15:44:06.989059,Read from csv
2020-05-31T15:44:06.995873,Read from csv
2020-05-31T15:44:06.995944,Read from csv
2020-05-31T15:44:07.002875,Read from csv
2020-05-31T15:44:07.002950,Read from csv
2020-05-31T15:44:07.015812,Read from csv
2020-05-31T15:44:07.015882,Read from csv
2020-05-31T15:44:07.015948,Read from csv
2020-05-31T15:44:07.019763,Read from csv
2020-05-31T15:44:07.019835,Read from csv
2020-06-01T21:55:28.417600,Read from csv
2020-06-01T21:55:28.424037,Read from csv
2020-06-01T21:55:28.424102,Read from csv
2020-06-01T21:55:28.430792,Read from csv
2020-06-01T21:55:28.430858,Read from csv
2020-06-01T21:55:28.443102,Read from csv
2020-06-01T21:55:28.443177,Read from csv
2020-06-01T21:55:28.443242,Read from csv
2020-06-01T21:55:28.446531,Read from csv
2020-06-01T21:55:28.446592,Read from csv
